0.93,2.29,0.62,0.8,2.42,3.19,2.79,1.82,2.42,:,1
1.02,2.66,0.64,1.42,3.18,3.21,2.63,1.86,2.32,:,1
1.22,0.54,0.53,0.24,1.54,3.18,2.8,1.31,2.5,:,0
0.45,0.29,0.57,0.46,1.52,3.18,2.96,1.57,2.86,:,1
0.51,1.18,0.57,1.54,2.02,3.18,2.78,1.18,2.54,:,0
0.99,0.72,0.27,0.74,1.26,3.17,2.89,1.66,3.66,:,0
0.9,0.26,0.32,0.86,1.58,3.17,2.66,1.22,3.22,:,1
0.74,0.22,0.41,0.82,1.5,3.17,2.81,1.54,2.88,:,1
1.12,1.04,0.64,0.82,2.14,3.18,2.79,1.41,2.54,:,1
0.7,0.22,0.26,1.5,1.54,3.17,2.82,2.24,3.12,:,1
1.47,0.7,0.75,1.66,2.76,3.18,2.89,1.66,2.62,:,0
0.96,0.29,0.38,0.88,2.08,3.17,2.93,1.66,3.42,:,1
0.74,2.75,0.45,0.98,1.74,3.2,2.87,1.38,2.34,:,1
0.58,2.27,0.45,1.26,1.72,3.19,2.91,2.3,2.74,:,1
0.96,2.29,0.51,1.2,2.84,3.2,2.82,2.02,2.46,:,1
1.25,1.76,0.5,1.46,2.08,3.19,2.74,1.41,2.32,:,1
0.86,1.76,0.34,0.06,1.1,3.18,2.73,1.15,2.98,:,0
0.61,2.49,0.66,1.34,1.78,3.2,3.04,1.15,2.42,:,1
0.67,1.36,0.38,0.82,3.38,3.18,2.86,1.79,2.8,:,1
0.8,2.1,0.58,1.18,1.98,3.19,2.93,1.22,2.48,:,0
0.86,1.12,0.41,1.2,2.18,3.18,2.7,1.06,2.94,:,1
0.96,0.14,0.42,1.06,2.08,3.17,2.74,1.15,3.22,:,1
0.93,0.29,0.41,1.02,1.36,3.16,2.74,1.34,3.66,:,0
0.54,0.3,0.41,1.02,1.46,3.17,2.71,1.73,3.04,:,1
1.22,1.15,0.54,1.1,2.02,3.18,2.77,1.92,2.46,:,0
0.61,2.8,0.48,0.56,1.52,3.19,2.54,1.6,2.54,:,1
0.77,2.24,0.75,1.28,2.64,3.19,2.57,1.34,2.38,:,1
0.99,1.22,0.59,0.94,1.9,3.18,2.79,1.22,2.4,:,0
0.58,0.18,0.38,0.54,0.76,3.17,2.69,1.63,2.94,:,0
0.64,3.12,0.45,1.84,3.16,3.2,2.75,1.54,2.46,:,0
0.74,2.14,0.5,0.94,2.26,3.2,2.78,1.5,2.34,:,0
0.7,2.32,0.63,0.72,2.12,3.19,2.65,1.28,2.42,:,1
0.64,1.6,0.41,2.08,2.22,3.19,2.8,1.76,2.72,:,1
1.06,0.21,0.58,0.98,2.5,3.18,2.9,1.92,2.74,:,0
0.96,0.45,0.29,0.98,1.42,3.18,2.94,2.02,3.02,:,0
0.88,1.18,0.43,0.74,1.52,3.18,3.01,1.63,2.94,:,0
0.7,1.15,0.32,0.4,1.1,3.18,2.78,1.76,2.9,:,0
1.02,0.91,0.5,0.72,1.22,3.18,2.91,1.92,3.2,:,1
0.7,2.37,0.62,0.86,1.68,3.2,2.86,1.6,2.58,:,1
1.38,0.18,0.62,0.14,1.46,3.18,2.88,1.66,2.42,:,0
0.99,0.15,0.24,1.38,1.98,3.17,2.61,1.02,3.06,:,0
0.58,0.19,0.41,0.5,0.98,3.16,2.74,1.57,3.38,:,1
0.67,0.61,0.24,1.06,1.9,3.18,2.82,1.25,2.88,:,0
1.02,0.42,0.56,0.46,2.06,3.18,2.86,2.05,2.66,:,1
0.64,0.34,0.62,0.64,2.22,3.18,3.1,1.98,2.8,:,1
1.7,0.61,0.39,0.7,1.46,3.17,2.9,1.82,3.38,:,1
0.38,0.77,0.34,1.06,1.46,3.18,3.15,2.18,3.22,:,0
0.9,1.24,0.35,0.88,1.86,3.18,2.86,1.47,2.94,:,0
0.45,0.26,0.4,0.56,1.68,3.18,2.9,1.44,2.72,:,1
0.61,2.22,0.65,1.2,2.06,3.19,2.62,1.31,2.34,:,0
1.02,0.3,0.38,1.1,1.9,3.17,2.93,1.34,3.42,:,0
0.42,2.06,0.48,0.96,1.4,3.18,2.71,1.76,2.86,:,1
0.8,0.66,0.47,2.54,2.18,3.18,2.59,1.89,3.02,:,1
1.02,1.12,0.51,0.8,1.82,3.18,2.82,1.5,2.56,:,0
1.02,0.37,0.58,0.54,1.7,3.17,2.78,1.66,3.42,:,0
0.61,0.46,0.37,0.86,1.1,3.17,2.94,1.31,3.12,:,1
0.8,2.43,0.54,1.06,2.28,3.19,2.86,1.44,2.48,:,0
0.93,0.78,0.39,0.7,1.7,3.18,2.82,1.41,2.88,:,1
0.64,2.27,0.64,1.42,2.83,3.2,2.79,1.47,2.38,:,0
0.83,1.23,0.64,1.2,2.54,3.18,2.81,1.6,2.54,:,1
1.06,3.11,0.55,1.46,3.24,3.2,2.62,1.28,2.34,:,1
1.98,0.18,0.45,0.16,0.82,3.18,3.03,1.02,2.78,:,0
0.9,0.22,0.45,0.32,1.1,3.18,2.82,2.08,2.96,:,0
0.51,0.37,0.42,0.48,1.36,3.18,3.1,1.34,3.04,:,1
1.41,0.68,0.37,1.14,1.76,3.18,2.9,1.5,3.01,:,0
1.47,0.53,0.62,0.48,1.9,3.18,2.78,1.63,2.88,:,0
0.99,2.32,0.43,0.16,1.06,3.18,2.79,1.09,3.34,:,0
0.93,0.61,0.5,0.8,1.52,3.18,2.77,1.28,2.94,:,0
0.51,1.92,0.34,1.04,1.3,3.18,2.8,1.09,2.88,:,0
0.54,0.72,0.48,0.7,1.36,3.18,2.74,1.5,2.54,:,1
1.6,0.38,0.67,0.5,1.5,3.18,2.82,1.28,2.46,:,0
0.83,2.94,0.96,0.88,1.86,3.2,2.82,1.25,2.34,:,0
0.74,0.14,0.47,1.22,1.88,3.17,2.81,1.98,2.58,:,1
0.9,2.48,0.41,0.82,1.78,3.18,2.83,1.41,3.46,:,0
1.31,1.47,0.56,0.78,2,3.19,2.86,1.63,2.42,:,1
0.99,1.71,0.45,1.36,1.96,3.19,2.69,1.38,2.32,:,1
1.28,1.04,0.42,0.7,1.3,3.18,2.81,1.86,3.36,:,0
0.8,2.53,0.65,1.04,2.22,3.19,2.79,1.63,2.46,:,1
